player_name,clutches
SiuFatBB,15/65
leaf,10/35
PatMen,10/41
f0rsakeN,9/29
t3xture,7/19
Foxy9,7/25
Chronicle,7/51
kaajak,7/39
Serial,6/19
d4v41,6/61
Juicy,5/16
Lysoar,5/38
N4RRATE,5/20
crashies,5/51
Ash,5/33
Alfajer,4/33
trent,4/30
Zellsis,4/33
Keiko,4/31
Yuicaw,4/47
Karon,4/35
something,3/39
Verno,3/22
zekken,3/18
bang,3/21
nephh,3/18
Boaster,3/35
coconut,3/13
johnqt,3/36
Spring,2/29
whzy,2/16
Jinggg,2/25
happywei,2/17
rushia,2/21
paTiTek,2/24
Kushy,2/12
nAts,2/17
Rarga,2/6
benjyfishy,2/12
penny,2/9
crazyguy,2/22
JonahP,1/13
kamo,1/5
xffero,1/13
Munchkin,1/19
Wo0t,1/10
Knight,1/15
Boo,1/17
valyn,1/18
aspas,1/5
Monyet,0/9
Levius,0/26
jawgemo,0/11
RieNs,0/7
Jemkin,0/5
MiniBoo,0/8
xenom,0/12
cortezia,0/10
Viva,0/16
Midi,0/5
artzin,0/5
