player_name,fk_fd_ratio
benjyfishy,2.00
Viva,2.00
Ash,2.00
crashies,1.82
Alfajer,1.62
Spring,1.52
Midi,1.50
nAts,1.50
rushia,1.47
trent,1.46
Chronicle,1.40
Jemkin,1.31
Serial,1.30
Lysoar,1.27
t3xture,1.26
penny,1.25
Keiko,1.23
kaajak,1.22
paTiTek,1.21
f0rsakeN,1.19
bang,1.11
MiniBoo,1.11
whzy,1.10
happywei,1.09
Jinggg,1.08
Juicy,1.07
Verno,1.00
Boaster,1.00
xffero,1.00
Yuicaw,0.97
Munchkin,0.96
Karon,0.96
Foxy9,0.95
leaf,0.94
kamo,0.94
something,0.93
zekken,0.89
valyn,0.88
nephh,0.86
jawgemo,0.84
d4v41,0.81
crazyguy,0.79
Rarga,0.79
johnqt,0.76
PatMen,0.75
SiuFatBB,0.75
Zellsis,0.74
N4RRATE,0.70
cortezia,0.70
RieNs,0.70
Knight,0.69
Wo0t,0.67
xenom,0.40
Monyet,0.38
aspas,0.33
JonahP,0.30
artzin,0.27
Levius,0.26
Boo,0.25
Kushy,0.20
coconut,0.17
tarik,
Kyedae,
joshseki,
Vinnie,
Yvonnie,
Disguised Toast,
Jacob,
meL,
Sidsity,
TenZ,
